Protein	Gene name
10/A5A3E0/P0CG38/P0CG39/P60709/P62736/P63261/P63267/P68032/P68133/Q6S8J3	NA
10/A5A3E0/P0CG38/P60709/P62736/P63261/P63267/P68032/P68133/Q6S8J3/Q9BYX7	NA
10/A5A3E0/P60709/P62736/P63261/P63267/P68032/P68133/Q562R1/Q6S8J3/Q9BYX7	NA
10/O94788/P00352/P05091/P30837/P30838/P43353/P47895/P48448/P49189/P51648	NA
11/A5A3E0/A6NI47/B2RU33/H3BUK9/P0CG38/P0CG39/Q6S545/Q6S5H4/Q6S5H5/Q6S8J3/Q6S8J7	NA
11/A6NKZ8/A6NNZ2/P04350/P07437/P68371/Q13509/Q13885/Q3ZCM7/Q9BUF5/Q9BVA1/Q9H4B7	NA
11/O15264/P45983/P45984/P53778/P53779/Q15746/Q15759/Q16539/Q32MK0/Q86YV6/Q9H1R3	NA
11/O95678/P02538/P04259/P04264/P05787/P12035/P13647/P35908/P48668/Q01546/Q7Z794	NA
11/O95678/P02538/P04259/P12036/P13647/P35908/P48668/Q01546/Q7RTS7/Q86Y46/Q8N1N4	NA
11/P09619/P10721/P16234/P17948/P27361/P28482/P35916/P35968/P36888/Q8TD08/Q9UBE8	NA
12/A8MTJ3/P04899/P08754/P09471/P11488/P19087/P38405/P63092/P63096/Q03113/Q14344/Q5JWF2	NA
12/O95678/P02538/P04259/P04264/P05787/P12035/P13647/P35908/P48668/Q01546/Q5XKE5/Q7Z794	NA
12/P04908/P0C0S8/P16104/P20671/Q16777/Q6FI13/Q7L7L0/Q93077/Q96KK5/Q96QV6/Q99878/Q9BTM1	NA
13/A7E2Y1/P11055/P12882/P12883/P13533/P13535/P35579/P35580/P35749/Q7Z406/Q9UKX2/Q9UKX3/Q9Y623	NA
13/O95716/P20336/P61006/P61026/P61106/P62820/Q14964/Q92928/Q92930/Q96DA2/Q96E17/Q9H082/Q9H0U4	NA
13/P04222/P10319/P18464/P18465/P30464/P30484/P30487/P30488/P30490/P30491/P30495/P30498/P30685	NA
13/P04908/P0C0S8/P16104/P20671/Q16777/Q6FI13/Q7L7L0/Q8IUE6/Q93077/Q96KK5/Q96QV6/Q99878/Q9BTM1	NA
14/A5A3E0/P0CG38/P0CG39/P60709/P61160/P61163/P62736/P63261/P63267/P68032/P68133/Q562R1/Q6S8J3/Q9BYX7	NA
14/O15021/O60307/O75582/O75676/P51812/Q15349/Q15418/Q6P0Q8/Q86UE8/Q96GX5/Q96NX5/Q9UK32/Q9UKI8/Q9Y2H9	NA
14/O60814/P06899/P23527/P33778/P57053/P58876/P62807/Q16778/Q5QNW6/Q8N257/Q93079/Q99877/Q99879/Q99880	NA
14/O60814/P06899/P23527/P33778/P57053/P58876/P62807/Q16778/Q5QNW6/Q93079/Q96A08/Q99877/Q99879/Q99880	NA
14/P04908/P0C0S5/P0C0S8/P16104/P20671/Q16777/Q6FI13/Q71UI9/Q7L7L0/Q93077/Q96KK5/Q96QV6/Q99878/Q9BTM1	NA
15/A6NCW0/A8MUK1/C9J2P7/C9JJH3/C9JLJ4/C9JPN9/C9JVI0/D6R901/D6R9N7/D6RA61/D6RBQ6/D6RCP7/D6RJB6/Q0WX57/Q7RTZ2	NA
15/O60814/P06899/P23527/P33778/P57053/P58876/P62807/Q16778/Q5QNW6/Q8N257/Q93079/Q96A08/Q99877/Q99879/Q99880	NA
15/O60814/P06899/P23527/P33778/P58876/P62807/Q16778/Q5QNW6/Q6DN03/Q6DRA6/Q8N257/Q93079/Q99877/Q99879/Q99880	NA
15/P04908/P0C0S5/P0C0S8/P16104/P20671/Q16777/Q6FI13/Q71UI9/Q7L7L0/Q8IUE6/Q93077/Q96KK5/Q96QV6/Q99878/Q9BTM1	NA
16/O60814/P06899/P23527/P33778/P57053/P58876/P62807/Q16778/Q5QNW6/Q6DN03/Q6DRA6/Q8N257/Q93079/Q99877/Q99879/Q99880	NA
17/A2A368/A8MXT2/O15480/O60732/P43355/P43356/P43357/P43358/P43360/P43361/P43363/P43364/P43365/Q8N7X4/Q96M61/Q9UBF1/Q9UJ55	NA
