uniprot	gene	synonyms
Q9BZL4	PPP1R12C	PPP1R12C,LENG3,MBS85
Q9BZL6	PRKD2	PRKD2,PKD2,HSPC187
Q9BZR8	BCL2L14	BCL2L14,BCLG
Q9BZZ5	API5	API5,MIG8
Q9C004	SPRY4	SPRY4
Q9C040	TRIM2	TRIM2,KIAA0517,RNF86
Q9C073	FAM117A	FAM117A
Q9C075	KRT23	KRT23
Q9C086	INO80B	INO80B,HMGA1L4,PAPA1,ZNHIT4
Q9C0B0	UNK	UNK,KIAA1753,ZC3H5,ZC3HDC5
Q9C0B5	ZDHHC5	ZDHHC5,KIAA1748,ZNF375
Q9C0C2	TNKS1BP1	TNKS1BP1,KIAA1741,TAB182
Q9C0C7	AMBRA1	AMBRA1,DCAF3,KIAA1736
Q9C0C9	UBE2O	UBE2O,KIAA1734
Q9C0E2	XPO4	XPO4,KIAA1721
Q9C0E8	LNPK	LNPK,KIAA1715,LNP
Q9C0H2	TTYH3	TTYH3,KIAA1691
Q9C0H5	ARHGAP39	ARHGAP39,KIAA1688
Q9C0J8	WDR33	WDR33,WDC146
Q9C0K0	BCL11B	BCL11B,CTIP2,RIT1
Q9GZP8	IMUP	IMUP,C19orf33
Q9GZR1	SENP6	SENP6,KIAA0797,SSP1,SUSP1,FKSG6
Q9GZR7	DDX24	DDX24
Q9GZT9	EGLN1	EGLN1,C1orf12,PNAS-118,PNAS-137
Q9GZV5	WWTR1	WWTR1,TAZ
Q9GZX5	ZNF350	ZNF350,ZBRK1
Q9GZY8	MFF	MFF,C2orf33,AD030,AD033,GL004
Q9H019	MTFR1L	MTFR1L,FAM54B,HYST1888,MSTP116
Q9H063	MAF1	MAF1
Q9H089	LSG1	LSG1
Q9H0A0	NAT10	NAT10,ALP,KIAA1709
Q9H0B6	KLC2	KLC2
Q9H0C5	BTBD1	BTBD1,C15orf1,NS5ATP8
Q9H0C8	ILKAP	ILKAP
Q9H0D6	XRN2	XRN2
Q9H0E3	SAP130	SAP130
Q9H0F6	SHARPIN	SHARPIN,SIPL1,PSEC0216
Q9H0G5	NSRP1	NSRP1,CCDC55,NSRP70
Q9H0H5	RACGAP1	RACGAP1,KIAA1478,MGCRACGAP
Q9H0S4	DDX47	DDX47
Q9H0W8	SMG9	SMG9,C19orf61
Q9H0X4	FAM234A	FAM234A,C16orf9,ITFG3
Q9H116	GZF1	GZF1,ZBTB23,ZNF336
Q9H165	BCL11A	BCL11A,CTIP1,EVI9,KIAA1809,ZNF856
Q9H190	SDCBP2	SDCBP2,SITAC18
Q9H1A4	ANAPC1	ANAPC1,TSG24
Q9H1B7	IRF2BPL	IRF2BPL,C14orf4,EAP1,KIAA1865,My039
Q9H1E3	NUCKS1	NUCKS1,NUCKS,JC7
Q9H1H9	KIF13A	KIF13A,RBKIN
Q9H1J1	UPF3A	UPF3A,RENT3A,UPF3
Q9H1K0	RBSN	RBSN,ZFYVE20
Q9H1K1	ISCU	ISCU,NIFUN
Q9H1Z4	WDR13	WDR13
Q9H201	EPN3	EPN3
Q9H246	C1orf21	C1orf21,PIG13
Q9H254	SPTBN4	SPTBN4,KIAA1642,SPTBN3
Q9H2G2	SLK	SLK,KIAA0204,STK2
Q9H2H9	SLC38A1	SLC38A1,ATA1,NAT2,SAT1,SNAT1
Q9H2I8	LRMDA	LRMDA,C10orf11,CDA017
Q9H2K8	TAOK3	TAOK3,DPK,JIK,KDS,MAP3K18
Q9H2P0	ADNP	ADNP,ADNP1,KIAA0784
Q9H2U2	PPA2	PPA2,HSPC124
Q9H2Y7	ZNF106	ZNF106,SH3BP3,ZFP106,ZNF474
Q9H307	PNN	PNN,DRS,MEMA
Q9H330	TMEM245	TMEM245,C9orf5
Q9H3C7	GGNBP2	GGNBP2,LCRG1,LZK1,ZNF403
Q9H3N1	TMX1	TMX1,TMX,TXNDC,TXNDC1,PSEC0085,UNQ235/PRO268
Q9H3P2	NELFA	NELFA,WHSC2,P/OKcl.15
Q9H3Q1	CDC42EP4	CDC42EP4,BORG4,CEP4
Q9H3U1	UNC45A	UNC45A,SMAP1
Q9H3Z4	DNAJC5	DNAJC5,CLN4
Q9H410	DSN1	DSN1,C20orf172,MIS13
Q9H425	C1orf198	C1orf198
Q9H426	RIMS4	RIMS4,C20orf190
Q9H444	CHMP4B	CHMP4B,C20orf178,SHAX1
Q9H4A3	WNK1	WNK1,HSN2,KDP,KIAA0344,PRKWNK1
Q9H4A4	RNPEP	RNPEP,APB
Q9H4A6	GOLPH3	GOLPH3,GPP34
Q9H4G0	EPB41L1	EPB41L1,KIAA0338
Q9H4L4	SENP3	SENP3,SSP3,SUSP3
Q9H4L5	OSBPL3	OSBPL3,KIAA0704,ORP3,OSBP3
Q9H4L7	SMARCAD1	SMARCAD1,KIAA1122
Q9H4M7	PLEKHA4	PLEKHA4,PEPP1
Q9H4X1	RGCC	RGCC,C13orf15,RGC32
Q9H4Z3	PCIF1	PCIF1,C20orf67,CAPAM,PPP1R121
Q9H501	ESF1	ESF1,ABTAP,C20orf6,HDCMC28P
Q9H5H4	ZNF768	ZNF768
Q9H5J8	TAF1D	TAF1D,JOSD3
Q9H5N1	RABEP2	RABEP2,RABPT5B
Q9H6F5	CCDC86	CCDC86,CYCLON
Q9H6H4	REEP4	REEP4,C8orf20,PP432
Q9H6K1	ILRUN	ILRUN,C6orf106
Q9H6R4	NOL6	NOL6
Q9H6S0	YTHDC2	YTHDC2
Q9H6S3	EPS8L2	EPS8L2,EPS8R2,PP13181
Q9H6Y2	WDR55	WDR55
Q9H6Z4	RANBP3	RANBP3
Q9H788	SH2D4A	SH2D4A,PPP1R38,SH2A
Q9H792	PEAK1	PEAK1,KIAA2002
Q9H7D0	DOCK5	DOCK5
Q9H7D7	WDR26	WDR26,CDW2,MIP2,PRO0852
Q9H7E9	C8orf33	C8orf33
Q9H7F0	ATP13A3	ATP13A3,AFURS1
Q9H7L9	SUDS3	SUDS3,SAP45,SDS3
Q9H7N4	SCAF1	SCAF1,SFRS19,SRA1
Q9H7S9	ZNF703	ZNF703,ZEPPO1,ZPO1
Q9H7Z6	KAT8	KAT8,MOF,MYST1,PP7073
Q9H8E8	KAT14	KAT14,CSRP2BP
Q9H8G2	CAAP1	CAAP1,C9orf82,CAAP
Q9H8M2	BRD9	BRD9,UNQ3040/PRO9856
Q9H8M9	EVA1A	EVA1A,FAM176A,TMEM166,SP24
Q9H8N7	ZNF395	ZNF395,HDBP2,PBF
Q9H8T0	AKTIP	AKTIP,FTS
Q9H8V3	ECT2	ECT2
Q9H8Y5	ANKZF1	ANKZF1,ZNF744
Q9H8Y8	GORASP2	GORASP2,GOLPH6
Q9H910	JPT2	JPT2,C16orf34,HN1L,L11
Q9H9C1	VIPAS39	VIPAS39,C14orf133,SPE39,VIPAR
Q9H9D4	ZNF408	ZNF408,PFM14,PRDM17
Q9H9E3	COG4	COG4
Q9H9J4	USP42	USP42
Q9HAN9	NMNAT1	NMNAT1,NMNAT
Q9HAP2	MLXIP	MLXIP,BHLHE36,KIAA0867,MIR,MONDOA
Q9HAS0	C17orf75	C17orf75
Q9HAU0	PLEKHA5	PLEKHA5,KIAA1686,PEPP2
Q9HAW0	BRF2	BRF2,BRFU,PRO1470
Q9HAW4	CLSPN	CLSPN
Q9HAZ1	CLK4	CLK4
Q9HB19	PLEKHA2	PLEKHA2,TAPP2
Q9HB20	PLEKHA3	PLEKHA3,FAPP1
Q9HB58	SP110	SP110
Q9HB90	RRAGC	RRAGC
Q9HB96	FANCE	FANCE,FACE
Q9HBB8	CDHR5	CDHR5,MUCDHL,MUPCDH,UNQ2781/PRO7168
Q9HC35	EML4	EML4,C2orf2,EMAPL4
Q9HC44	GPBP1L1	GPBP1L1,SP192
Q9HC52	CBX8	CBX8,PC3,RC1
Q9HCD5	NCOA5	NCOA5,KIAA1637
Q9HCD6	TANC2	TANC2,KIAA1148,KIAA1636
Q9HCE1	MOV10	MOV10,KIAA1631
Q9HCG8	CWC22	CWC22,KIAA1604,NCM
Q9HCH5	SYTL2	SYTL2,KIAA1597,SGA72M,SLP2,SLP2A
Q9HCJ0	TNRC6C	TNRC6C,KIAA1582
Q9HCK8	CHD8	CHD8,HELSNF1,KIAA1564
Q9HCM4	EPB41L5	EPB41L5,KIAA1548
Q9HCM7	FBRSL1	FBRSL1,AUTS2L,KIAA1545,XTP9
Q9HCN4	GPN1	GPN1,MBDIN,RPAP4,XAB1,HUSSY-23
Q9HD20	ATP13A1	ATP13A1,ATP13A,KIAA1825,CGI-152
Q9HDC5	JPH1	JPH1,JP1
Q9HDC9	APMAP	APMAP,C20orf3,UNQ1869/PRO4305
Q9NP66	HMG20A	HMG20A,HMGX1,HMGXB1
Q9NP87	POLM	POLM,polmu
Q9NPB8	GPCPD1	GPCPD1,GDE5,KIAA1434
Q9NPE2	NGRN	NGRN,FI58G,HT020
Q9NPF5	DMAP1	DMAP1,KIAA1425
Q9NPG3	UBN1	UBN1
Q9NPI1	BRD7	BRD7,BP75,CELTIX1
Q9NPI6	DCP1A	DCP1A,SMIF
Q9NPQ8	RIC8A	RIC8A
Q9NPR2	SEMA4B	SEMA4B,KIAA1745,SEMAC,UNQ749/PRO1480
Q9NQ29	LUC7L	LUC7L,LUC7L1
Q9NQ55	PPAN	PPAN,BXDC3,SSF1
Q9NQ84	GPRC5C	GPRC5C,RAIG3,PSEC0087
Q9NQ92	COPRS	COPRS,C17orf79,COPR5
Q9NQB0	TCF7L2	TCF7L2,TCF4
Q9NQC3	RTN4	RTN4,KIAA0886,NOGO,My043,SP1507
Q9NQG5	RPRD1B	RPRD1B,C20orf77,CREPT
Q9NQG6	MIEF1	MIEF1,MID51,SMCR7L
Q9NQP4	PFDN4	PFDN4,PFD4
Q9NQQ7	SLC35C2	SLC35C2,C20orf5,OVCOV1,CGI-15
Q9NQS1	AVEN	AVEN
Q9NQS7	INCENP	INCENP
Q9NQT8	KIF13B	KIF13B,GAKIN,KIAA0639
Q9NQU5	PAK6	PAK6,PAK5
Q9P286	PAK5	PAK5,KIAA1264,PAK7
Q9NQW6	ANLN	ANLN
Q9NQX3	GPHN	GPHN,GPH,KIAA1385
Q9NQZ2	UTP3	UTP3,CRLZ1,SAS10
Q9NR09	BIRC6	BIRC6,KIAA1289
Q9NR19	ACSS2	ACSS2,ACAS2
Q9NR30	DDX21	DDX21
Q9NR33	POLE4	POLE4
Q9NR45	NANS	NANS,SAS
Q9NRA0	SPHK2	SPHK2,SK2
Q9NRA8	EIF4ENIF1	EIF4ENIF1
Q9NRF8	CTPS2	CTPS2
Q9NRG0	CHRAC1	CHRAC1,CHRAC15
Q9NRG9	AAAS	AAAS,ADRACALA,GL003
Q9NRL2	BAZ1A	BAZ1A,ACF1,WCRF180,HSPC317
Q9NRL3	STRN4	STRN4,ZIN
Q9NRS6	SNX15	SNX15
Q9NRX5	SERINC1	SERINC1,KIAA1253,TDE1L,TDE2,UNQ396/PRO732
Q9NRY4	ARHGAP35	ARHGAP35,GRF1,GRLF1,KIAA1722,P190A,p190ARHOGAP
Q9NRZ9	HELLS	HELLS,PASG,SMARCA6,Nbla10143
Q9NS56	TOPORS	TOPORS,LUN,TP53BPL
Q9NS69	TOMM22	TOMM22,TOM22
Q9NS87	KIF15	KIF15,KLP2,KNSL7
Q9NS91	RAD18	RAD18,RNF73
Q9NSI2	SLX9	SLX9,C21orf70,FAM207A,PRED56
Q9NSI6	BRWD1	BRWD1,C21orf107,WDR9
Q9NSK0	KLC4	KLC4,KNSL8
Q9NSY0	NRBP2	NRBP2,PP9320,TRG16
Q9NSY1	BMP2K	BMP2K,BIKE,HRIHFB2017
Q9NTI5	PDS5B	PDS5B,APRIN,AS3,KIAA0979
Q9NTJ3	SMC4	SMC4,CAPC,SMC4L1
Q9NTZ6	RBM12	RBM12,KIAA0765,HRIHFB2091
Q9NU22	MDN1	MDN1,KIAA0301
Q9NUJ3	TCP11L1	TCP11L1
Q9NUL3	STAU2	STAU2
Q9NUQ3	TXLNG	TXLNG,CXorf15,ELRG,LSR5
Q9NUQ6	SPATS2L	SPATS2L,DNAPTP6,SP1224
Q9NV56	MRGBP	MRGBP,C20orf20
Q9NV70	EXOC1	EXOC1,SEC3,SEC3L1,BM-012
Q9NV88	INTS9	INTS9,RC74
Q9NVA2	SEPTIN11	SEPTIN11,SEPT11
Q9NVD7	PARVA	PARVA,MXRA2
Q9NVE5	USP40	USP40
Q9NVE7	PANK4	PANK4
Q9NVI1	FANCI	FANCI,KIAA1794
Q9NVM6	DNAJC17	DNAJC17
Q9NVM9	INTS13	INTS13,ASUN,C12orf11,GCT1
Q9NVR2	INTS10	INTS10,C8orf35
Q9NVU7	SDAD1	SDAD1,NUC130
Q9NVW2	RLIM	RLIM,RNF12
Q9NW68	BSDC1	BSDC1,UNQ2494/PRO5781
Q9NW75	GPATCH2	GPATCH2,GPATC2
Q9NW82	WDR70	WDR70
Q9NWA0	MED9	MED9,MED25
Q9NWB6	ARGLU1	ARGLU1
Q9NWH9	SLTM	SLTM,MET
Q9NWK9	ZNHIT6	ZNHIT6,BCD1,C1orf181
Q9NWV8	BABAM1	BABAM1,C19orf62,MERIT40,NBA1,HSPC142
Q9NWW5	CLN6	CLN6
Q9NWZ5	UCKL1	UCKL1,URKL1,F538
Q9NX40	OCIAD1	OCIAD1,ASRIJ,OCIA
Q9NX63	CHCHD3	CHCHD3,MIC19,MINOS3
Q9NX95	SYBU	SYBU,GOLSYN,KIAA1472
Q9NXC5	MIOS	MIOS
Q9NXG2	THUMPD1	THUMPD1
Q9NXH9	TRMT1	TRMT1
Q9NXR1	NDE1	NDE1,NUDE
Q9NXV6	CDKN2AIP	CDKN2AIP,CARF
Q9NY27	PPP4R2	PPP4R2,SBBI57
Q9NYA4	MTMR4	MTMR4,KIAA0647,ZFYVE11
Q9NYB0	TERF2IP	TERF2IP,DRIP5,RAP1,PP8000
Q9NYB9	ABI2	ABI2,ARGBPIA
Q9NYF3	FAM53C	FAM53C,C5orf6
Q9NYF8	BCLAF1	BCLAF1,BTF,KIAA0164
Q9NYL2	MAP3K20	MAP3K20,MLTK,ZAK,HCCS4
Q9NYM9	BET1L	BET1L,GS15
Q9NYV4	CDK12	CDK12,CRK7,CRKRS,KIAA0904
Q9NYZ3	GTSE1	GTSE1
Q9NZ09	UBAP1	UBAP1,NAG20
Q9NZ32	ACTR10	ACTR10,ACTR11,ARP10,ARP11
Q9NZ52	GGA3	GGA3,KIAA0154
Q9NZ63	C9orf78	C9orf78,HCA59
Q9NZB2	FAM120A	FAM120A,C9orf10,KIAA0183,OSSA
Q9NZD8	SPG21	SPG21,ACP33,BM-019,GL010
Q9NZL4	HSPBP1	HSPBP1,HSPBP,PP1845
Q9NZM3	ITSN2	ITSN2,KIAA1256,SH3D1B,SWAP
Q9NZM4	BICRA	BICRA,GLTSCR1
Q9NZN5	ARHGEF12	ARHGEF12,KIAA0382,LARG
Q9NZN8	CNOT2	CNOT2,CDC36,NOT2,HSPC131,MSTP046
Q9NZT2	OGFR	OGFR
Q9P035	HACD3	HACD3,BIND1,PTPLAD1
Q9P0B6	CCDC167	CCDC167,C6orf129,HSPC265
Q9P0J7	KCMF1	KCMF1,FIGC,ZZZ1
Q9P0V3	SH3BP4	SH3BP4,BOG25,EHB10,TTP
Q9P107	GMIP	GMIP
Q9P1Y5	CAMSAP3	CAMSAP3,KIAA1543
Q9P1Y6	PHRF1	PHRF1,KIAA1542
Q9P206	KIAA1522	KIAA1522
Q9P219	CCDC88C	CCDC88C,DAPLE,KIAA1509
Q9P246	STIM2	STIM2,KIAA1482
Q9P260	RELCH	RELCH,KIAA1468
Q9P265	DIP2B	DIP2B,KIAA1463
Q9P266	JCAD	JCAD,KIAA1462
Q9P270	SLAIN2	SLAIN2,KIAA1458
Q9P275	USP36	USP36,KIAA1453
Q9P287	BCCIP	BCCIP,TOK1
Q9P289	STK26	STK26,MASK,MST4
Q9P2B4	CTTNBP2NL	CTTNBP2NL,KIAA1433
Q9P2B7	CFAP97	CFAP97,KIAA1430
Q9P2D0	IBTK	IBTK,BTKI,KIAA1417
Q9P2D1	CHD7	CHD7,KIAA1416
Q9P2D3	HEATR5B	HEATR5B,KIAA1414,p200,p200a
Q9P2E9	RRBP1	RRBP1,KIAA1398
Q9P2F8	SIPA1L2	SIPA1L2,KIAA1389
Q9P2G1	ANKIB1	ANKIB1,KIAA1386
Q9P2I0	CPSF2	CPSF2,CPSF100,KIAA1367
Q9P2K3	RCOR3	RCOR3,KIAA1343
Q9P2K5	MYEF2	MYEF2,KIAA1341
Q9P2K8	EIF2AK4	EIF2AK4,GCN2,KIAA1338
Q9P2M4	TBC1D14	TBC1D14,KIAA1322
Q9P2M7	CGN	CGN,KIAA1319
Q9P2N5	RBM27	RBM27,KIAA1311
Q9P2P5	HECW2	HECW2,KIAA1301,NEDL2
Q9P2R6	RERE	RERE,ARG,ARP,ATN1L,KIAA0458
Q9UBB9	TFIP11	TFIP11,STIP,HSPC006
Q9UBC2	EPS15L1	EPS15L1,EPS15R
Q9UBF8	PI4KB	PI4KB,PIK4CB
Q9UBL3	ASH2L	ASH2L,ASH2L1
Q9UBM7	DHCR7	DHCR7,D7SR
Q9UBN7	HDAC6	HDAC6,KIAA0901,JM21
Q9UBS8	RNF14	RNF14,ARA54,HRIHFB2038
Q9UBU7	DBF4	DBF4,ASK,DBF4A,ZDBF1
Q9UBW7	ZMYM2	ZMYM2,FIM,RAMP,ZNF198
Q9UD71	PPP1R1B	PPP1R1B,DARPP32
Q9UDT6	CLIP2	CLIP2,CYLN2,KIAA0291,WBSCR3,WBSCR4,WSCR4
Q9UDY2	TJP2	TJP2,X104,ZO2
Q9UEE9	CFDP1	CFDP1,BCNT,CENP-29
Q9UEG4	ZNF629	ZNF629,KIAA0326,ZNF65
Q9UER7	DAXX	DAXX,BING2,DAP6
Q9UET6	FTSJ1	FTSJ1,JM23
Q9UEW8	STK39	STK39,SPAK
Q9UEY8	ADD3	ADD3,ADDL
Q9UFC0	LRWD1	LRWD1,CENP-33,ORCA
Q9UGK3	STAP2	STAP2,BKS
Q9UGP4	LIMD1	LIMD1
Q9UGR2	ZC3H7B	ZC3H7B,KIAA1031
Q9UGU0	TCF20	TCF20,KIAA0292,SPBP
Q9UGU5	HMGXB4	HMGXB4,HMG2L1,HMGBCG
Q9UGV2	NDRG3	NDRG3
Q9UGY1	NOL12	NOL12
Q9UH62	ARMCX3	ARMCX3,ALEX3,BM-017,UNQ2517/PRO6007
Q9UHB6	LIMA1	LIMA1,EPLIN,SREBP3,PP624
Q9UHB7	AFF4	AFF4,AF5Q31,MCEF,HSPC092
Q9UHD1	CHORDC1	CHORDC1,CHP1
Q9UHD8	SEPTIN9	SEPTIN9,KIAA0991,MSF,SEPT9
Q9UHI6	DDX20	DDX20,DP103,GEMIN3
Q9UHK0	NUFIP1	NUFIP1
Q9UHL9	GTF2IRD1	GTF2IRD1,CREAM1,GTF3,MUSTRD1,RBAP2,WBSCR11,WBSCR12
Q9UHR4	BAIAP2L1	BAIAP2L1,IRTKS
Q9UHR5	SAP30BP	SAP30BP,HCNGP,HTRG,HTRP
Q9UHV7	MED13	MED13,ARC250,KIAA0593,THRAP1,TRAP240
Q9UHY1	NRBP1	NRBP1,BCON3,NRBP
Q9UI10	EIF2B4	EIF2B4,EIF2BD
Q9UI36	DACH1	DACH1,DACH
Q9UID3	VPS51	VPS51,ANG2,C11orf2,C11orf3,FFR,PP5382
Q9UID6	ZNF639	ZNF639,ZASC1
Q9UIF8	BAZ2B	BAZ2B,KIAA1476
Q9UIF9	BAZ2A	BAZ2A,KIAA0314,TIP5
Q9UIG0	BAZ1B	BAZ1B,WBSC10,WBSCR10,WBSCR9,WSTF
Q9UIK4	DAPK2	DAPK2
Q9UIS9	MBD1	MBD1,CXXC3,PCM1
Q9UJ41	RABGEF1	RABGEF1,RABEX5
Q9UJ70	NAGK	NAGK
Q9UJF2	RASAL2	RASAL2,NGAP
Q9UJM3	ERRFI1	ERRFI1,MIG6
Q9UJU6	DBNL	DBNL,CMAP,SH3P7,PP5423
Q9UJX2	CDC23	CDC23,ANAPC8
Q9UJX6	ANAPC2	ANAPC2,APC2,KIAA1406
Q9UK58	CCNL1	CCNL1,BM-001,UNQ530/PRO1073
Q9UK59	DBR1	DBR1
Q9UK61	TASOR	TASOR,C3orf63,FAM208A,KIAA1105
Q9UK76	JPT1	JPT1,ARM2,HN1
Q9UKA4	AKAP11	AKAP11,AKAP220,KIAA0629
Q9UKE5	TNIK	TNIK,KIAA0551
Q9UKG1	APPL1	APPL1,APPL,DIP13A,KIAA1428
Q9UKJ3	GPATCH8	GPATCH8,GPATC8,KIAA0553
Q9UKK3	PARP4	PARP4,ADPRTL1,KIAA0177,PARPL
Q9UKL0	RCOR1	RCOR1,KIAA0071,RCOR
Q9UKM9	RALY	RALY,HNRPCL2,P542
Q9UKN8	GTF3C4	GTF3C4
Q9UKS6	PACSIN3	PACSIN3
Q9UKT5	FBXO4	FBXO4,FBX4
Q9UKV3	ACIN1	ACIN1,ACINUS,KIAA0670
Q9UKV8	AGO2	AGO2,EIF2C2
Q9UKX7	NUP50	NUP50,NPAP60L,PRO1146
Q9UKY7	CDV3	CDV3,H41
Q9ULD2	MTUS1	MTUS1,ATBP,ATIP,GK1,KIAA1288,MTSG1
Q9ULD9	ZNF608	ZNF608,KIAA1281
Q9ULE6	PALD1	PALD1,KIAA1274,PALD
Q9ULF5	SLC39A10	SLC39A10,KIAA1265,ZIP10
Q9ULH1	ASAP1	ASAP1,DDEF1,KIAA1249,PAG2
Q9ULH7	MRTFB	MRTFB,KIAA1243,MKL2
Q9ULJ3	ZBTB21	ZBTB21,KIAA1227,ZNF295
Q9ULJ8	PPP1R9A	PPP1R9A,KIAA1222
Q9ULL5	PRR12	PRR12,KIAA1205
Q9ULL8	SHROOM4	SHROOM4,KIAA1202,SHAP
Q9ULM3	YEATS2	YEATS2,KIAA1197
Q9ULP9	TBC1D24	TBC1D24,KIAA1171
Q9ULR3	PPM1H	PPM1H,ARHCL1,KIAA1157,URCC2
Q9ULS5	TMCC3	TMCC3,KIAA1145
Q9ULT8	HECTD1	HECTD1,KIAA1131
Q9ULU4	ZMYND8	ZMYND8,KIAA1125,PRKCBP1,RACK7
Q9ULU8	CADPS	CADPS,CAPS,CAPS1,KIAA1121
Q9ULV3	CIZ1	CIZ1,LSFR1,NP94,ZNF356
Q9ULW0	TPX2	TPX2,C20orf1,C20orf2,DIL2,HCA519
Q9ULX3	NOB1	NOB1,ART4,NOB1P,PSMD8BP1,MSTP158
Q9ULX6	AKAP8L	AKAP8L,NAKAP,NAKAP95,HRIHFB2018
Q9UM00	TMCO1	TMCO1,TMCC4,PNAS-10,PNAS-136,UNQ151/PRO177
Q9UM54	MYO6	MYO6,KIAA0389
Q9UMD9	COL17A1	COL17A1,BP180,BPAG2
Q9UMN6	KMT2B	KMT2B,HRX2,KIAA0304,MLL2,MLL4,TRX2,WBP7
Q9UMZ2	SYNRG	SYNRG,AP1GBP1,SYNG
Q9UN36	NDRG2	NDRG2,KIAA1248,SYLD
Q9UN86	G3BP2	G3BP2,KIAA0660
Q9UNE0	EDAR	EDAR,DL
Q9UNE7	STUB1	STUB1,CHIP,PP1131
Q9UNF1	MAGED2	MAGED2,BCG1
Q9UNN5	FAF1	FAF1,UBXD12,UBXN3A,CGI-03
Q9UNS1	TIMELESS	TIMELESS,TIM,TIM1,TIMELESS1
Q9UNW1	MINPP1	MINPP1,MIPP,UNQ900/PRO1917
Q9UNZ2	NSFL1C	NSFL1C,UBXN2C
Q9UP83	COG5	COG5,GOLTC1,GTC90
Q9UPM6	LHX6	LHX6,LHX6.1
Q9UPN3	MACF1	MACF1,ABP620,ACF7,KIAA0465,KIAA0754,KIAA1251
Q9UPN4	CEP131	CEP131,AZI1,KIAA1118
Q9UPN6	SCAF8	SCAF8,CCAP7,KIAA1116,RBM16
Q9UPN7	PPP6R1	PPP6R1,KIAA1115,PP6R1,SAPS1
Q9UPN9	TRIM33	TRIM33,KIAA1113,RFG7,TIF1G
Q9UPP1	PHF8	PHF8,KIAA1111,ZNF422
Q9UPQ0	LIMCH1	LIMCH1,KIAA1102
Q9UPT6	MAPK8IP3	MAPK8IP3,JIP3,KIAA1066
Q9UPT8	ZC3H4	ZC3H4,C19orf7,KIAA1064
Q9UPU5	USP24	USP24,KIAA1057
Q9UPU7	TBC1D2B	TBC1D2B,KIAA1055
Q9UPU9	SAMD4A	SAMD4A,KIAA1053,SAMD4,SMAUG1
Q9UPW0	FOXJ3	FOXJ3,KIAA1041
Q9UPW6	SATB2	SATB2,KIAA1034
Q9UPX8	SHANK2	SHANK2,CORTBP1,KIAA1022,PROSAP1
Q9UQ16	DNM3	DNM3,KIAA0820
Q9UQ35	SRRM2	SRRM2,KIAA0324,SRL300,SRM300,HSPC075
Q9UQ80	PA2G4	PA2G4,EBP1
Q9UQ88	CDK11A	CDK11A,CDC2L2,CDC2L3,PITSLREB
Q9UQB8	BAIAP2	BAIAP2
Q9UQC2	GAB2	GAB2,KIAA0571
Q9UQE7	SMC3	SMC3,BAM,BMH,CSPG6,SMC3L1
Q9UQN3	CHMP2B	CHMP2B,CGI-84
Q9UQR0	SCML2	SCML2
Q9UQR1	ZNF148	ZNF148,ZBP89
Q9Y217	MTMR6	MTMR6
Q9Y222	DMTF1	DMTF1,DMP1
Q9Y232	CDYL	CDYL,CDYL1
Q9Y248	GINS2	GINS2,PSF2,CGI-122,DC5,HSPC037
Q9Y261	FOXA2	FOXA2,HNF3B,TCF3B
Q9Y266	NUDC	NUDC
Q9Y281	CFL2	CFL2
Q9Y294	ASF1A	ASF1A,CGI-98,HSPC146
Q9Y2D5	AKAP2	AKAP2,KIAA0920,PRKA2
Q9Y2D8	SSX2IP	SSX2IP,KIAA0923
Q9Y2D9	ZNF652	ZNF652,KIAA0924
Q9Y2F5	ICE1	ICE1,KIAA0947
Q9Y2G4	ANKRD6	ANKRD6,KIAA0957
Q9Y2H0	DLGAP4	DLGAP4,DAP4,KIAA0964,SAPAP4
Q9Y2H2	INPP5F	INPP5F,KIAA0966,SAC2,MSTP007,MSTP047
Q9Y2H5	PLEKHA6	PLEKHA6,KIAA0969,PEPP3
Q9Y2I7	PIKFYVE	PIKFYVE,KIAA0981,PIP5K3
Q9Y2J2	EPB41L3	EPB41L3,DAL1,KIAA0987
Q9Y2K2	SIK3	SIK3,KIAA0999,QSK,L19
Q9Y2K5	R3HDM2	R3HDM2,KIAA1002
Q9Y2K6	USP20	USP20,KIAA1003,LSFR3A,VDU2
Q9Y2K7	KDM2A	KDM2A,CXXC8,FBL11,FBL7,FBXL11,JHDM1A,KIAA1004
Q9Y2L1	DIS3	DIS3,KIAA1008,RRP44
Q9Y2L9	LRCH1	LRCH1,CHDC1,KIAA1016
Q9Y2T1	AXIN2	AXIN2
Q9Y2T7	YBX2	YBX2,CSDA3,MSY2
Q9Y2U5	MAP3K2	MAP3K2,MAPKKK2,MEKK2
Q9Y2V2	CARHSP1	CARHSP1
Q9Y2W1	THRAP3	THRAP3,BCLAF2,TRAP150
Q9Y2W2	WBP11	WBP11,NPWBP,SIPP1,SNP70
Q9Y2X3	NOP58	NOP58,NOL5,NOP5,HSPC120
Q9Y2X7	GIT1	GIT1
Q9Y2Y9	KLF13	KLF13,BTEB3,NSLP1
Q9Y2Z0	SUGT1	SUGT1
Q9Y320	TMX2	TMX2,TXNDC14,CGI-31,My009,PIG26,PSEC0045,UNQ237/PRO270
Q9Y365	STARD10	STARD10,SDCCAG28,CGI-52
Q9Y383	LUC7L2	LUC7L2,CGI-59,CGI-74
Q9Y385	UBE2J1	UBE2J1,NCUBE1,CGI-76,HSPC153,HSPC205
Q9Y388	RBMX2	RBMX2,CGI-79
