uniprot	gene	synonyms
Q92609	TBC1D5	TBC1D5,KIAA0210
Q92610	ZNF592	ZNF592,KIAA0211
Q92613	JADE3	JADE3,KIAA0215,PHF16
Q92614	MYO18A	MYO18A,CD245,KIAA0216,MYSPDZ,TIAF1
Q92615	LARP4B	LARP4B,KIAA0217,LARP5
Q92618	ZNF516	ZNF516,KIAA0222
Q92622	RUBCN	RUBCN,KIAA0226
Q92625	ANKS1A	ANKS1A,ANKS1,KIAA0229,ODIN
Q92628	KIAA0232	KIAA0232
Q92667	AKAP1	AKAP1,AKAP149,PRKA1
Q92674	CENPI	CENPI,FSHPRH1,ICEN19,LRPR1
Q92685	ALG3	ALG3,NOT,NOT56L
Q92692	NECTIN2	NECTIN2,HVEB,PRR2,PVRL2
Q92733	PRCC	PRCC,TPRC
Q92734	TFG	TFG
Q92738	USP6NL	USP6NL,KIAA0019
Q92766	RREB1	RREB1,FINB
Q92769	HDAC2	HDAC2
Q92783	STAM	STAM,STAM1
Q92785	DPF2	DPF2,BAF45D,REQ,UBID4
Q92786	PROX1	PROX1
Q92793	CREBBP	CREBBP,CBP
Q92797	SYMPK	SYMPK,SPK
Q92817	EVPL	EVPL
Q92826	HOXB13	HOXB13
Q92835	INPP5D	INPP5D,SHIP,SHIP1
Q92844	TANK	TANK,ITRAF,TRAF2
Q92859	NEO1	NEO1,IGDCC2,NGN
Q92870	APBB2	APBB2,FE65L,FE65L1
Q92878	RAD50	RAD50
Q92882	OSTF1	OSTF1
Q92888	ARHGEF1	ARHGEF1
Q92890	UFD1	UFD1,UFD1L
Q92903	CDS1	CDS1,CDS
Q92917	GPKOW	GPKOW,GPATC5,GPATCH5,T54
Q92922	SMARCC1	SMARCC1,BAF155
Q92925	SMARCD2	SMARCD2,BAF60B,PRO2451
Q92934	BAD	BAD,BBC6,BCL2L8
Q92945	KHSRP	KHSRP,FUBP2
Q92974	ARHGEF2	ARHGEF2,KIAA0651,LFP40
Q92993	KAT5	KAT5,HTATIP,TIP60
Q92994	BRF1	BRF1,BRF,GTF3B,TAF3B2,TAF3C
Q92997	DVL3	DVL3,KIAA0208
Q93008	USP9X	USP9X,DFFRX,FAM,USP9
Q93009	USP7	USP7,HAUSP
Q93045	STMN2	STMN2,SCG10,SCGN10
Q93074	MED12	MED12,ARC240,CAGH45,HOPA,KIAA0192,TNRC11,TRAP230
Q93100	PHKB	PHKB
Q969E4	TCEAL3	TCEAL3,MSTP072
Q969G9	NKD1	NKD1,NKD,PP7246
Q969H4	CNKSR1	CNKSR1,CNK1
Q969R5	L3MBTL2	L3MBTL2
Q969T4	UBE2E3	UBE2E3,UBCE4,UBCH9
Q96A49	SYAP1	SYAP1,PRO3113
Q96A65	EXOC4	EXOC4,KIAA1699,SEC8,SEC8L1
Q96AD5	PNPLA2	PNPLA2,ATGL,FP17548
Q96AE4	FUBP1	FUBP1
Q96AG3	SLC25A46	SLC25A46,TB1
Q96AP0	ACD	ACD,PIP1,PTOP,TINT1,TPP1
Q96AQ6	PBXIP1	PBXIP1,HPIP
Q96AT1	KIAA1143	KIAA1143
Q96AX9	MIB2	MIB2,SKD,ZZANK1
Q96B23	C18orf25	C18orf25,ARKL1
Q96B36	AKT1S1	AKT1S1,PRAS40
Q96B97	SH3KBP1	SH3KBP1,CIN85
Q96BD0	SLCO4A1	SLCO4A1,OATP1,OATP4A1,OATPE,SLC21A12
Q96BT3	CENPT	CENPT,C16orf56,ICEN22
Q96BY7	ATG2B	ATG2B,C14orf103
Q96C19	EFHD2	EFHD2,SWS1
Q96C24	SYTL4	SYTL4
Q96C34	RUNDC1	RUNDC1,LP5161
Q96C36	PYCR2	PYCR2
Q96C57	CUSTOS	CUSTOS,C12orf43
Q96C90	PPP1R14B	PPP1R14B,PLCB3N,PNG
Q96C92	ENTR1	ENTR1,SDCCAG3
Q96CB8	INTS12	INTS12,PHF22,SBBI22
Q96CB9	NSUN4	NSUN4
Q96CC6	RHBDF1	RHBDF1,C16orf8,DIST1,IRHOM1
Q96CP2	FLYWCH2	FLYWCH2
Q96CV9	OPTN	OPTN,FIP2,GLC1E,HIP7,HYPL,NRP
